========================================
Logging started: 2024-12-06T11:02:36.953321
========================================
2024-12-06T11:02:37.931329 | Position: N/A | Raw Position: N/A | RSSI: N/A | Remote RSSI: N/A
2024-12-06T11:02:38.931625 | Position: N/A | Raw Position: N/A | RSSI: N/A | Remote RSSI: N/A
2024-12-06T11:02:39.931631 | Position: N/A | Raw Position: N/A | RSSI: N/A | Remote RSSI: N/A
2024-12-06T11:02:40.931265 | Position: N/A | Raw Position: N/A | RSSI: N/A | Remote RSSI: N/A
2024-12-06T11:02:41.931300 | Position: N/A | Raw Position: N/A | RSSI: N/A | Remote RSSI: N/A
2024-12-06T11:02:42.931575 | Position: N/A | Raw Position: N/A | RSSI: N/A | Remote RSSI: N/A
2024-12-06T11:02:43.931279 | Position: N/A | Raw Position: N/A | RSSI: N/A | Remote RSSI: N/A
2024-12-06T11:02:44.931321 | Position: N/A | Raw Position: N/A | RSSI: N/A | Remote RSSI: N/A
2024-12-06T11:02:45.931295 | Position: N/A | Raw Position: N/A | RSSI: N/A | Remote RSSI: N/A
2024-12-06T11:02:46.931255 | Position: N/A | Raw Position: N/A | RSSI: N/A | Remote RSSI: N/A
2024-12-06T11:02:47.931268 | Position: N/A | Raw Position: N/A | RSSI: N/A | Remote RSSI: N/A
2024-12-06T11:02:48.931261 | Position: N/A | Raw Position: N/A | RSSI: N/A | Remote RSSI: N/A
2024-12-06T11:02:49.931287 | Position: N/A | Raw Position: N/A | RSSI: N/A | Remote RSSI: N/A
2024-12-06T11:02:50.931286 | Position: N/A | Raw Position: N/A | RSSI: N/A | Remote RSSI: N/A
2024-12-06T11:02:51.931283 | Position: N/A | Raw Position: N/A | RSSI: N/A | Remote RSSI: N/A
2024-12-06T11:02:52.931323 | Position: N/A | Raw Position: N/A | RSSI: N/A | Remote RSSI: N/A
2024-12-06T11:02:53.931585 | Position: N/A | Raw Position: N/A | RSSI: N/A | Remote RSSI: N/A
2024-12-06T11:02:54.931304 | Position: N/A | Raw Position: N/A | RSSI: N/A | Remote RSSI: N/A
2024-12-06T11:02:55.931483 | Position: N/A | Raw Position: N/A | RSSI: N/A | Remote RSSI: N/A
2024-12-06T11:02:56.931306 | Position: N/A | Raw Position: N/A | RSSI: N/A | Remote RSSI: N/A
2024-12-06T11:02:57.931292 | Position: N/A | Raw Position: N/A | RSSI: N/A | Remote RSSI: N/A
2024-12-06T11:02:58.931298 | Position: N/A | Raw Position: N/A | RSSI: N/A | Remote RSSI: N/A
2024-12-06T11:02:59.931312 | Position: N/A | Raw Position: N/A | RSSI: N/A | Remote RSSI: N/A
2024-12-06T11:03:00.931263 | Position: N/A | Raw Position: N/A | RSSI: N/A | Remote RSSI: N/A
2024-12-06T11:03:01.931302 | Position: N/A | Raw Position: N/A | RSSI: N/A | Remote RSSI: N/A
2024-12-06T11:03:02.931282 | Position: N/A | Raw Position: N/A | RSSI: N/A | Remote RSSI: N/A
2024-12-06T11:03:03.931296 | Position: N/A | Raw Position: N/A | RSSI: N/A | Remote RSSI: N/A
2024-12-06T11:03:04.931576 | Position: N/A | Raw Position: N/A | RSSI: N/A | Remote RSSI: N/A
2024-12-06T11:03:05.931276 | Position: N/A | Raw Position: N/A | RSSI: N/A | Remote RSSI: N/A
2024-12-06T11:03:06.931284 | Position: N/A | Raw Position: N/A | RSSI: N/A | Remote RSSI: N/A
2024-12-06T11:03:07.931304 | Position: N/A | Raw Position: N/A | RSSI: N/A | Remote RSSI: N/A
2024-12-06T11:03:08.931566 | Position: N/A | Raw Position: N/A | RSSI: N/A | Remote RSSI: N/A
2024-12-06T11:03:09.931287 | Position: N/A | Raw Position: N/A | RSSI: N/A | Remote RSSI: N/A
2024-12-06T11:03:10.931276 | Position: N/A | Raw Position: N/A | RSSI: N/A | Remote RSSI: N/A
2024-12-06T11:03:11.931284 | Position: N/A | Raw Position: N/A | RSSI: N/A | Remote RSSI: N/A
2024-12-06T11:03:12.931496 | Position: N/A | Raw Position: N/A | RSSI: N/A | Remote RSSI: N/A
2024-12-06T11:03:13.931287 | Position: N/A | Raw Position: N/A | RSSI: N/A | Remote RSSI: N/A
2024-12-06T11:03:14.931282 | Position: N/A | Raw Position: N/A | RSSI: N/A | Remote RSSI: N/A
2024-12-06T11:03:15.931283 | Position: N/A | Raw Position: N/A | RSSI: N/A | Remote RSSI: N/A
2024-12-06T11:03:16.931583 | Position: N/A | Raw Position: N/A | RSSI: N/A | Remote RSSI: N/A
2024-12-06T11:03:17.931331 | Position: N/A | Raw Position: N/A | RSSI: N/A | Remote RSSI: N/A
2024-12-06T11:03:18.931352 | Position: N/A | Raw Position: N/A | RSSI: N/A | Remote RSSI: N/A
2024-12-06T11:03:19.931685 | Position: N/A | Raw Position: N/A | RSSI: N/A | Remote RSSI: N/A
2024-12-06T11:03:20.931297 | Position: N/A | Raw Position: N/A | RSSI: N/A | Remote RSSI: N/A
2024-12-06T11:03:21.931243 | Position: N/A | Raw Position: N/A | RSSI: N/A | Remote RSSI: N/A
2024-12-06T11:03:22.931304 | Position: N/A | Raw Position: N/A | RSSI: N/A | Remote RSSI: N/A
2024-12-06T11:03:23.931292 | Position: N/A | Raw Position: N/A | RSSI: N/A | Remote RSSI: N/A
2024-12-06T11:03:24.931308 | Position: N/A | Raw Position: N/A | RSSI: N/A | Remote RSSI: N/A
2024-12-06T11:03:25.931291 | Position: N/A | Raw Position: N/A | RSSI: N/A | Remote RSSI: N/A
2024-12-06T11:03:26.931485 | Position: N/A | Raw Position: N/A | RSSI: N/A | Remote RSSI: N/A
2024-12-06T11:03:27.931283 | Position: N/A | Raw Position: N/A | RSSI: N/A | Remote RSSI: N/A
2024-12-06T11:03:28.931279 | Position: N/A | Raw Position: N/A | RSSI: N/A | Remote RSSI: N/A
