2024-12-06T11:19:02.003814 | Position: 55.471545, 10.324292, 53.55 m | Raw Position: 55.471545, 10.324293, 53.49 m | RSSI: -28.1 | Remote RSSI: -28.6
2024-12-06T11:19:03.003833 | Position: 55.471545, 10.324292, 53.57 m | Raw Position: 55.471545, 10.324293, 53.49 m | RSSI: -23.8 | Remote RSSI: -23.8
2024-12-06T11:19:04.003803 | Position: 55.471545, 10.324292, 53.59 m | Raw Position: 55.471545, 10.324293, 53.54 m | RSSI: -25.4 | Remote RSSI: -23.8
2024-12-06T11:19:05.003796 | Position: 55.471545, 10.324293, 53.62 m | Raw Position: 55.471546, 10.324293, 53.61 m | RSSI: -30.2 | Remote RSSI: -25.4
2024-12-06T11:19:06.003776 | Position: 55.471545, 10.324293, 53.65 m | Raw Position: 55.471546, 10.324294, 53.65 m | RSSI: -27.5 | Remote RSSI: -27.5
2024-12-06T11:19:07.003859 | Position: 55.471546, 10.324293, 53.69 m | Raw Position: 55.471547, 10.324294, 53.67 m | RSSI: -29.1 | Remote RSSI: -26.5
2024-12-06T11:19:08.003771 | Position: 55.471546, 10.324294, 53.73 m | Raw Position: 55.471547, 10.324295, 53.72 m | RSSI: -28.1 | Remote RSSI: -27.0
2024-12-06T11:19:09.003756 | Position: 55.471546, 10.324294, 53.77 m | Raw Position: 55.471547, 10.324295, 53.77 m | RSSI: -27.5 | Remote RSSI: -27.0
2024-12-06T11:19:10.003743 | Position: 55.471546, 10.324295, 53.81 m | Raw Position: 55.471547, 10.324295, 53.78 m | RSSI: -31.7 | Remote RSSI: -27.0
2024-12-06T11:19:11.003768 | Position: 55.471547, 10.324295, 53.85 m | Raw Position: 55.471547, 10.324295, 53.81 m | RSSI: -31.7 | Remote RSSI: -30.7
2024-12-06T11:19:12.003755 | Position: 55.471547, 10.324295, 53.88 m | Raw Position: 55.471547, 10.324295, 53.81 m | RSSI: -33.8 | Remote RSSI: -30.7
2024-12-06T11:19:13.003765 | Position: 55.471547, 10.324295, 53.90 m | Raw Position: 55.471547, 10.324295, 53.81 m | RSSI: -30.7 | Remote RSSI: -33.8
2024-12-06T11:19:14.003793 | Position: 55.471546, 10.324295, 53.91 m | Raw Position: 55.471547, 10.324295, 53.80 m | RSSI: -26.5 | Remote RSSI: -25.9
2024-12-06T11:19:15.003811 | Position: 55.471546, 10.324295, 53.91 m | Raw Position: 55.471546, 10.324295, 53.78 m | RSSI: -27.0 | Remote RSSI: -25.9
2024-12-06T11:19:16.003834 | Position: 55.471546, 10.324295, 53.90 m | Raw Position: 55.471546, 10.324295, 53.72 m | RSSI: -27.0 | Remote RSSI: -26.5
2024-12-06T11:19:17.003790 | Position: 55.471546, 10.324295, 53.86 m | Raw Position: 55.471546, 10.324295, 53.65 m | RSSI: -27.5 | Remote RSSI: -26.5
2024-12-06T11:19:18.004051 | Position: 55.471545, 10.324295, 53.81 m | Raw Position: 55.471545, 10.324295, 53.60 m | RSSI: -29.1 | Remote RSSI: -26.5
2024-12-06T11:19:19.003937 | Position: 55.471545, 10.324295, 53.77 m | Raw Position: 55.471545, 10.324295, 53.56 m | RSSI: -33.3 | Remote RSSI: -30.7
2024-12-06T11:19:20.003691 | Position: 55.471545, 10.324295, 53.72 m | Raw Position: 55.471545, 10.324295, 53.54 m | RSSI: -31.7 | Remote RSSI: -31.7
2024-12-06T11:19:21.003937 | Position: 55.471545, 10.324295, 53.68 m | Raw Position: 55.471545, 10.324295, 53.57 m | RSSI: -31.7 | Remote RSSI: -31.2
2024-12-06T11:19:22.004016 | Position: 55.471545, 10.324295, 53.66 m | Raw Position: 55.471545, 10.324295, 53.52 m | RSSI: -31.7 | Remote RSSI: -29.6
2024-12-06T11:19:23.004016 | Position: 55.471545, 10.324295, 53.63 m | Raw Position: 55.471545, 10.324295, 53.47 m | RSSI: -28.1 | Remote RSSI: -28.1
2024-12-06T11:19:24.003789 | Position: 55.471544, 10.324295, 53.59 m | Raw Position: 55.471545, 10.324295, 53.43 m | RSSI: -27.0 | Remote RSSI: -25.4
2024-12-06T11:19:25.003965 | Position: 55.471544, 10.324295, 53.54 m | Raw Position: 55.471544, 10.324295, 53.33 m | RSSI: -23.8 | Remote RSSI: -24.4
2024-12-06T11:19:26.003778 | Position: 55.471544, 10.324295, 53.47 m | Raw Position: 55.471544, 10.324295, 53.26 m | RSSI: -25.4 | Remote RSSI: -24.4
2024-12-06T11:19:27.003822 | Position: 55.471544, 10.324295, 53.40 m | Raw Position: 55.471544, 10.324295, 53.20 m | RSSI: -28.1 | Remote RSSI: -25.4
2024-12-06T11:19:28.003757 | Position: 55.471543, 10.324295, 53.34 m | Raw Position: 55.471544, 10.324295, 53.21 m | RSSI: -40.2 | Remote RSSI: -36.5
2024-12-06T11:19:29.003955 | Position: 55.471543, 10.324294, 53.31 m | Raw Position: 55.471543, 10.324294, 53.15 m | RSSI: -26.5 | Remote RSSI: -24.9
2024-12-06T11:19:30.004170 | Position: 55.471543, 10.324294, 53.28 m | Raw Position: 55.471543, 10.324294, 53.20 m | RSSI: -25.4 | Remote RSSI: -24.4
2024-12-06T11:19:31.003775 | Position: 55.471543, 10.324294, 53.28 m | Raw Position: 55.471543, 10.324294, 53.22 m | RSSI: -25.9 | Remote RSSI: -25.4
2024-12-06T11:19:32.003949 | Position: 55.471543, 10.324294, 53.27 m | Raw Position: 55.471543, 10.324294, 53.17 m | RSSI: -35.4 | Remote RSSI: -33.8
2024-12-06T11:19:33.003787 | Position: 55.471543, 10.324294, 53.26 m | Raw Position: 55.471543, 10.324294, 53.16 m | RSSI: -30.2 | Remote RSSI: -33.8
2024-12-06T11:19:34.003879 | Position: 55.471542, 10.324294, 53.25 m | Raw Position: 55.471542, 10.324294, 53.12 m | RSSI: -29.1 | Remote RSSI: -28.1
2024-12-06T11:19:35.003761 | Position: 55.471542, 10.324294, 53.23 m | Raw Position: 55.471542, 10.324294, 53.09 m | RSSI: -30.2 | Remote RSSI: -29.1
2024-12-06T11:19:36.003760 | Position: 55.471542, 10.324294, 53.20 m | Raw Position: 55.471542, 10.324294, 53.08 m | RSSI: -31.7 | Remote RSSI: -31.2
2024-12-06T11:19:37.003633 | Position: 55.471542, 10.324294, 53.17 m | Raw Position: 55.471542, 10.324294, 53.06 m | RSSI: -32.3 | Remote RSSI: -31.2
2024-12-06T11:19:38.003869 | Position: 55.471542, 10.324294, 53.17 m | Raw Position: 55.471542, 10.324294, 53.04 m | RSSI: -27.0 | Remote RSSI: -28.1
2024-12-06T11:19:39.003784 | Position: 55.471542, 10.324294, 53.15 m | Raw Position: 55.471542, 10.324294, 53.02 m | RSSI: -25.9 | Remote RSSI: -25.4
2024-12-06T11:19:40.003761 | Position: 55.471542, 10.324294, 53.13 m | Raw Position: 55.471543, 10.324294, 53.03 m | RSSI: -27.0 | Remote RSSI: -24.9
